Veri Seti,Hedef,Algoritma,Base_Train_R2,Base_Test_R2,Base_Train_RMSE,Base_Test_RMSE,Base_Train_MAPE,Base_Test_MAPE,SMOGN_Train_R2,SMOGN_Test_R2,SMOGN_Train_RMSE,SMOGN_Test_RMSE,SMOGN_Train_MAPE,SMOGN_Test_MAPE,STGP-EF_Train_R2,STGP-EF_Test_R2,STGP-EF_Train_RMSE,STGP-EF_Test_RMSE,STGP-EF_Train_MAPE,STGP-EF_Test_MAPE,SMOGN+STGP-EF_Train_R2,SMOGN+STGP-EF_Test_R2,SMOGN+STGP-EF_Train_RMSE,SMOGN+STGP-EF_Test_RMSE,SMOGN+STGP-EF_Train_MAPE,SMOGN+STGP-EF_Test_MAPE,Max_Test_R2,Max_Senaryo
Kızgın Buhar,h (çıktı),GP,0.946999,0.955278,0.230220,0.226136,0.848218,0.956358,0.928718,0.831358,0.329256,0.439128,0.607589,2.456533,0.986047,0.986438,0.118123,0.124528,0.453509,0.577838,0.973130,0.938418,0.202154,0.265361,0.253229,1.053900,0.986438,STGP-EF
Kızgın Buhar,h (çıktı),KNN,0.995984,0.993373,0.063373,0.087050,0.194231,0.247816,0.996600,0.986679,0.071913,0.123416,0.125960,0.719926,0.998619,0.996820,0.037165,0.060305,0.120345,0.160568,0.997206,0.986569,0.065182,0.123926,0.096987,1.182539,0.996820,STGP-EF
Kızgın Buhar,h (çıktı),LightGBM,0.986033,0.972902,0.118181,0.176026,0.302905,0.270928,0.994692,0.971895,0.089850,0.179268,0.113421,0.646503,0.993631,0.987165,0.079808,0.121143,0.028070,0.106040,0.999225,0.996553,0.034325,0.062778,0.029185,0.181145,0.996553,SMOGN+STGP-EF
Kızgın Buhar,h (çıktı),RF,0.999537,0.997329,0.021517,0.055265,0.045774,0.203140,0.999442,0.990838,0.029139,0.102351,0.054428,0.431553,0.999848,0.998752,0.012336,0.037778,0.041497,0.126994,0.999779,0.996341,0.018335,0.064687,0.028072,0.163564,0.998752,STGP-EF
Kızgın Buhar,h (çıktı),XGBoost,0.999956,0.997900,0.006612,0.049006,0.025439,0.257961,0.999991,0.994280,0.003791,0.080871,0.006692,0.464737,0.999997,0.998399,0.001807,0.042792,0.008128,0.229812,0.999995,0.997023,0.002695,0.058340,0.004187,0.236398,0.998399,STGP-EF
Kızgın Buhar,s (çıktı),AdaBoost,0.932963,0.888317,0.258915,0.313988,0.655040,1.663058,0.953352,0.893906,0.272526,0.306030,0.518989,1.561198,0.979677,0.964503,0.142558,0.177017,0.843313,1.443403,0.967019,0.939909,0.229151,0.230317,1.179085,2.150550,0.964503,STGP-EF
Kızgın Buhar,s (çıktı),CatBoost,0.999123,0.995674,0.029614,0.061797,0.124760,0.143766,0.995167,0.985621,0.087723,0.112663,0.234769,1.091278,0.999648,0.995538,0.018764,0.062761,0.110472,0.274339,0.997080,0.993710,0.068185,0.074513,0.059309,0.278193,0.995674,Base
Kızgın Buhar,s (çıktı),DART,0.964941,0.938158,0.187242,0.233647,0.204133,0.422187,0.964023,0.884495,0.239333,0.319316,0.376072,1.659060,0.985550,0.978911,0.120208,0.136441,0.123259,0.264857,0.981247,0.962544,0.172795,0.181836,0.315283,0.922644,0.978911,STGP-EF
Kızgın Buhar,s (çıktı),EF,1.000000,0.998215,0.000000,0.039691,0.000000,0.109530,0.998391,0.992735,0.050612,0.080083,0.003499,0.211437,1.000000,0.994060,0.000000,0.072412,0.000000,0.127479,0.998391,0.991199,0.050612,0.088144,0.003499,0.169487,0.998215,Base
Kızgın Buhar,s (çıktı),ET,1.000000,0.997201,0.000000,0.049709,0.000000,0.122381,0.998391,0.992885,0.050612,0.079250,0.003499,0.195178,1.000000,0.994534,0.000000,0.069462,0.000000,0.161684,0.998391,0.982466,0.050612,0.124410,0.003499,0.221581,0.997201,Base
Kızgın Buhar,s (çıktı),GBDT,0.998473,0.992207,0.039071,0.082943,0.268348,0.681664,0.996178,0.984871,0.078010,0.115563,0.303893,1.347813,0.999850,0.994867,0.012264,0.067314,0.045838,0.310374,0.997657,0.987505,0.061083,0.105024,0.163578,0.514490,0.994867,STGP-EF
Kızgın Buhar,s (çıktı),GP,0.785228,0.725233,0.463435,0.492495,0.976993,1.392193,0.824576,0.768564,0.528491,0.451997,1.229828,1.937636,0.870094,0.830680,0.360425,0.386611,0.943548,1.546609,0.886434,0.707872,0.425223,0.507816,0.867374,1.357688,0.830680,STGP-EF
Kızgın Buhar,s (çıktı),KNN,0.985447,0.968614,0.120638,0.166453,0.200146,0.470043,0.981331,0.933011,0.172408,0.243177,0.296287,0.473642,0.981970,0.973139,0.134278,0.153987,0.178177,0.347009,0.984389,0.962456,0.157657,0.182049,0.138268,0.449709,0.973139,STGP-EF
Kızgın Buhar,s (çıktı),LightGBM,0.981878,0.952890,0.134618,0.203928,0.170548,0.359765,0.979717,0.897506,0.179706,0.300794,0.301220,1.427893,0.998491,0.988002,0.038848,0.102914,0.052801,0.202435,0.996322,0.988400,0.076523,0.101191,0.085663,0.355961,0.988400,SMOGN+STGP-EF
Kızgın Buhar,s (çıktı),RF,0.998543,0.984313,0.038175,0.117677,0.085746,0.502923,0.995899,0.976694,0.080809,0.143434,0.110980,1.009292,0.998983,0.990534,0.031896,0.091414,0.058894,0.239961,0.996786,0.972708,0.071529,0.155216,0.074661,0.375320,0.990534,STGP-EF
Kızgın Buhar,s (çıktı),XGBoost,0.999963,0.992657,0.006101,0.080510,0.038653,0.280493,0.998380,0.984724,0.050786,0.116123,0.038634,0.663626,0.999998,0.991795,0.001231,0.085106,0.005024,0.250430,0.998389,0.977804,0.050646,0.139977,0.007243,0.374128,0.992657,Base
Kızgın Buhar,v (çıktı),AdaBoost,0.992799,0.989110,0.084857,0.098388,1.060350,0.202292,0.956964,0.962786,0.325186,0.181876,2.365765,0.741785,0.988284,0.986560,0.108242,0.109301,1.549536,0.254422,0.956902,0.963370,0.325419,0.180444,2.143754,0.702656,0.989110,Base
Kızgın Buhar,v (çıktı),CatBoost,0.999946,0.999648,0.007335,0.017683,0.053225,0.026572,0.971661,0.998767,0.263882,0.033100,0.172087,0.082518,0.999974,0.999750,0.005067,0.014909,0.057349,0.025755,0.971770,0.997782,0.263376,0.044406,0.191885,0.068503,0.999750,STGP-EF
Kızgın Buhar,v (çıktı),DART,0.865419,0.886156,0.366853,0.318110,0.329649,0.154983,0.940665,0.981091,0.381833,0.129644,0.795719,0.158670,0.953707,0.940798,0.215157,0.229399,0.279420,0.140365,0.950058,0.988935,0.350308,0.099173,0.328405,0.132697,0.988935,SMOGN+STGP-EF
Kızgın Buhar,v (çıktı),EF,1.000000,0.999800,0.000050,0.013329,0.000044,0.013525,0.972051,0.995630,0.262062,0.062322,0.030429,0.049181,1.000000,0.999839,0.000249,0.011972,0.003238,0.015142,0.972048,0.999194,0.262075,0.026759,0.036662,0.030392,0.999839,STGP-EF
Kızgın Buhar,v (çıktı),ET,1.000000,0.999815,0.000000,0.012828,0.000000,0.013339,0.972051,0.998983,0.262058,0.030060,0.030192,0.030475,1.000000,0.999848,0.000000,0.011635,0.000000,0.012221,0.972051,0.999100,0.262058,0.028285,0.030192,0.027354,0.999848,STGP-EF
Kızgın Buhar,v (çıktı),GBDT,0.999983,0.999399,0.004074,0.023121,0.037446,0.021912,0.971960,0.999288,0.262487,0.025163,0.112298,0.053456,0.999983,0.999393,0.004136,0.023227,0.029826,0.022523,0.971972,0.998631,0.262431,0.034888,0.129535,0.058750,0.999399,Base
Kızgın Buhar,v (çıktı),GP,0.048405,0.040517,0.975497,0.923510,2.350413,0.765913,0.262281,-1.994556,1.346366,1.631508,2.719694,2.049310,0.900184,0.861160,0.315937,0.351302,3.814519,1.089655,0.895955,0.930989,0.505624,0.247674,0.970176,0.633003,0.930989,SMOGN+STGP-EF
Kızgın Buhar,v (çıktı),KNN,0.891857,0.790911,0.328850,0.431111,0.479432,0.295092,0.892675,0.774188,0.513532,0.448019,0.726213,0.559439,0.999231,0.997842,0.027725,0.043799,0.200571,0.083031,0.937575,0.994748,0.391649,0.068324,0.253261,0.129848,0.997842,STGP-EF
Kızgın Buhar,v (çıktı),LightGBM,0.882588,0.878133,0.342654,0.329129,0.246072,0.172667,0.966106,0.994608,0.288588,0.069228,0.267550,0.093765,0.990166,0.977953,0.099169,0.139991,0.098833,0.088504,0.967646,0.995621,0.281958,0.062392,0.085825,0.089817,0.995621,SMOGN+STGP-EF
Kızgın Buhar,v (çıktı),RF,0.999939,0.999358,0.007805,0.023892,0.045477,0.031531,0.970131,0.998273,0.270909,0.039175,0.099907,0.055593,0.999935,0.999357,0.008062,0.023902,0.041635,0.031957,0.970142,0.997866,0.270861,0.043550,0.334516,0.060626,0.999358,Base
Kızgın Buhar,v (çıktı),XGBoost,0.999994,0.999012,0.002485,0.029640,0.024247,0.034708,0.972049,0.997843,0.262071,0.043792,0.072355,0.055840,0.999993,0.999009,0.002635,0.029683,0.016026,0.038054,0.972050,0.997176,0.262065,0.050101,0.042995,0.069629,0.999012,Base

SENARYO BAZLI KARSILASTIRMA (Test_R2 Baz Alinmistir)
Senaryo,Kazanma_Sayisi,Kazanma_Orani_%,Senaryo_Ort_Test_R2,Kazananlar_Ort_Maks_Test_R2
Base,36,32.73,0.953386,0.998139
SMOGN,2,1.82,0.93043,0.981904
STGP-EF,59,53.64,0.983594,0.983437
SMOGN+STGP-EF,13,11.82,0.961351,0.97447

ALGORITMA BAZLI KARSILASTIRMA (Test_R2 Baz Alinmistir)
Algoritma,Ort_Base_Test_R2,Ort_SMOGN_Test_R2,Ort_STGP-EF_Test_R2,Ort_SMOGN+STGP-EF_Test_R2,Ort_Max_Test_R2,En_Iyi_Senaryo,Kazanma_Base,Kazanma_SMOGN,Kazanma_STGP-EF,Kazanma_SMOGN+STGP-EF
AdaBoost,0.972501,0.963226,0.987885,0.954261,0.988969,STGP-EF,3,0,5,2
CatBoost,0.996743,0.994456,0.997849,0.990535,0.997883,STGP-EF,1,0,8,1
DART,0.881309,0.87536,0.944609,0.904251,0.958739,STGP-EF,0,0,7,3
EF,0.999549,0.998212,0.998694,0.991422,0.999588,Base,6,0,4,0
ET,0.999508,0.998494,0.99818,0.980608,0.999516,Base,7,0,3,0
GBDT,0.996076,0.992939,0.997261,0.989501,0.997261,STGP-EF,1,0,9,0
GP,0.788691,0.594223,0.951135,0.9046,0.959149,STGP-EF,2,1,6,1
KNN,0.973056,0.960366,0.993782,0.98136,0.99474,Base,6,0,3,1
LightGBM,0.888484,0.886713,0.958046,0.911544,0.970594,SMOGN+STGP-EF,0,0,5,5
RF,0.996946,0.991502,0.997692,0.984821,0.997776,STGP-EF,4,1,5,0
XGBoost,0.994383,0.97924,0.994401,0.981958,0.994558,Base,6,0,4,0
