Veri Seti,Hedef,Algoritma,Base_Train_R2,Base_Test_R2,Base_Train_RMSE,Base_Test_RMSE,Base_Train_MAPE,Base_Test_MAPE,SMOGN_Train_R2,SMOGN_Test_R2,SMOGN_Train_RMSE,SMOGN_Test_RMSE,SMOGN_Train_MAPE,SMOGN_Test_MAPE,STGP-EF_Train_R2,STGP-EF_Test_R2,STGP-EF_Train_RMSE,STGP-EF_Test_RMSE,STGP-EF_Train_MAPE,STGP-EF_Test_MAPE,SMOGN+STGP-EF_Train_R2,SMOGN+STGP-EF_Test_R2,SMOGN+STGP-EF_Train_RMSE,SMOGN+STGP-EF_Test_RMSE,SMOGN+STGP-EF_Train_MAPE,SMOGN+STGP-EF_Test_MAPE,Max_Test_R2,Max_Senaryo
Doymuş Buhar,h buhar (çıktı),GBDT,1.000000,0.999114,0.000433,0.029976,0.003722,0.106413,1.000000,0.995117,0.000349,0.070374,0.000228,0.246619,0.999999,0.999436,0.000813,0.023919,0.001627,0.058919,1.000000,0.996455,0.000554,0.059964,0.000438,0.236422,0.999436,STGP-EF
Doymuş Buhar,h buhar (çıktı),GP,0.945234,0.957291,0.234021,0.208121,2.029131,0.627175,0.991839,0.986551,0.088042,0.116789,0.159693,0.423615,0.988765,0.991738,0.105995,0.091538,1.071706,0.321499,0.973523,0.936693,0.158584,0.253384,0.141340,0.491899,0.991738,STGP-EF
Doymuş Buhar,h buhar (çıktı),KNN,0.999188,0.999362,0.028501,0.025428,0.032415,0.076516,0.997862,0.994376,0.045060,0.075523,0.052776,0.267329,0.999255,0.999146,0.027292,0.029424,0.040290,0.088325,0.997852,0.994020,0.045165,0.077879,0.052887,0.274224,0.999362,Base
Doymuş Buhar,h buhar (çıktı),LightGBM,0.973020,0.970863,0.164256,0.171899,0.691389,0.219058,0.871331,0.714238,0.349590,0.538341,0.491318,1.770246,0.979380,0.978157,0.143598,0.148836,0.159346,0.160029,0.898971,0.703700,0.309775,0.548177,0.478169,1.940661,0.978157,STGP-EF
Doymuş Buhar,h buhar (çıktı),RF,0.999925,0.999602,0.008636,0.020086,0.124694,0.062245,0.999575,0.996913,0.020085,0.055954,0.027209,0.242611,0.999929,0.999613,0.008398,0.019807,0.061533,0.028468,0.999616,0.997544,0.019100,0.049912,0.025771,0.208810,0.999613,STGP-EF
Doymuş Buhar,h buhar (çıktı),XGBoost,0.999995,0.998467,0.002171,0.039431,0.007071,0.118439,0.999996,0.986969,0.001917,0.114958,0.001890,0.341260,0.999997,0.998226,0.001644,0.042421,0.005202,0.120020,0.999997,0.986825,0.001678,0.115591,0.001578,0.340022,0.998467,Base
Doymuş Buhar,h sıvı (çıktı),AdaBoost,0.999273,0.998945,0.026956,0.032930,0.050527,0.065749,0.998736,0.997186,0.036468,0.053785,0.030322,0.198899,0.999307,0.998793,0.026316,0.035226,0.051257,0.058887,0.998777,0.996411,0.035863,0.060747,0.045329,0.342976,0.998945,Base
Doymuş Buhar,h sıvı (çıktı),CatBoost,0.999768,0.999288,0.015234,0.027049,0.041082,0.105084,0.999657,0.998437,0.018998,0.040086,0.023998,0.140106,0.999843,0.999357,0.012527,0.025716,0.034379,0.135524,0.999815,0.997407,0.013961,0.051630,0.016269,0.243973,0.999357,STGP-EF
Doymuş Buhar,h sıvı (çıktı),DART,0.961805,0.966658,0.195436,0.185145,0.157886,0.237813,0.891752,0.764047,0.337463,0.492524,0.496637,2.475846,0.965718,0.969899,0.185154,0.175915,0.127932,0.195998,0.896055,0.765631,0.330689,0.490868,0.485879,2.445527,0.969899,STGP-EF
Doymuş Buhar,h sıvı (çıktı),EF,1.000000,0.999949,0.000000,0.007209,0.000000,0.010066,1.000000,0.999529,0.000000,0.021997,0.000000,0.052758,1.000000,0.999966,0.000000,0.005934,0.000000,0.014709,1.000000,0.999526,0.000000,0.022077,0.000000,0.020730,0.999966,STGP-EF
