Veri Seti,Hedef,Algoritma,Base,SMOGN,STGP-EF,SMOGN+STGP-EF,Max_R2,Max_Senaryo
Doymuş Buhar,v sıvı (çıktı),DART,0.925218,0.898004,0.939243,0.938351,0.939243,STGP-EF
Doymuş Buhar,v sıvı (çıktı),EF,0.999957,0.999469,0.999961,0.999519,0.999961,STGP-EF
Doymuş Buhar,v sıvı (çıktı),ET,0.999965,0.999681,0.999983,0.999612,0.999983,STGP-EF
Doymuş Buhar,v sıvı (çıktı),GBDT,0.998030,0.996711,0.998645,0.997097,0.998645,STGP-EF
Doymuş Buhar,v sıvı (çıktı),GP,0.959542,0.966781,0.956470,0.963037,0.966781,SMOGN
Doymuş Buhar,v sıvı (çıktı),KNN,0.999168,0.996393,0.999124,0.994954,0.999168,Base
Doymuş Buhar,v sıvı (çıktı),LightGBM,0.934564,0.885157,0.971037,0.936221,0.971037,STGP-EF
Doymuş Buhar,v sıvı (çıktı),RF,0.999379,0.998032,0.999315,0.997347,0.999379,Base
Doymuş Buhar,v sıvı (çıktı),XGBoost,0.996649,0.991134,0.996547,0.989016,0.996649,Base
Kızgın Buhar,h (çıktı),AdaBoost,0.966166,0.963194,0.992744,0.992162,0.992744,STGP-EF
Kızgın Buhar,h (çıktı),CatBoost,0.997979,0.995453,0.998913,0.997174,0.998913,STGP-EF
Kızgın Buhar,h (çıktı),DART,0.960409,0.958954,0.975661,0.983730,0.983730,SMOGN+STGP-EF
Kızgın Buhar,h (çıktı),EF,0.999512,0.998853,0.999500,0.998857,0.999512,Base
Kızgın Buhar,h (çıktı),ET,0.999370,0.997129,0.999286,0.998175,0.999370,Base
Kızgın Buhar,h (çıktı),GBDT,0.997700,0.994076,0.998920,0.996993,0.998920,STGP-EF
Kızgın Buhar,h (çıktı),GP,0.955278,0.831358,0.986438,0.938418,0.986438,STGP-EF
Kızgın Buhar,h (çıktı),KNN,0.993373,0.986679,0.996820,0.986569,0.996820,STGP-EF
Kızgın Buhar,h (çıktı),LightGBM,0.972902,0.971895,0.987165,0.996553,0.996553,SMOGN+STGP-EF
Kızgın Buhar,h (çıktı),RF,0.997329,0.990838,0.998752,0.996341,0.998752,STGP-EF
Kızgın Buhar,h (çıktı),XGBoost,0.997900,0.994280,0.998399,0.997023,0.998399,STGP-EF
Kızgın Buhar,s (çıktı),AdaBoost,0.888317,0.765175,0.964503,0.859072,0.964503,STGP-EF
Kızgın Buhar,s (çıktı),CatBoost,0.995674,0.989824,0.995538,0.990509,0.995674,Base
Kızgın Buhar,s (çıktı),DART,0.938158,0.903336,0.978911,0.949945,0.978911,STGP-EF
Kızgın Buhar,s (çıktı),EF,0.998215,0.989691,0.994060,0.982601,0.998215,Base
Kızgın Buhar,s (çıktı),ET,0.997201,0.990991,0.994534,0.980739,0.997201,Base
Kızgın Buhar,s (çıktı),GBDT,0.992207,0.985741,0.994867,0.972730,0.994867,STGP-EF
Kızgın Buhar,s (çıktı),GP,0.725233,0.768564,0.830680,0.772898,0.830680,STGP-EF
Kızgın Buhar,s (çıktı),KNN,0.968614,0.925145,0.973139,0.912413,0.973139,STGP-EF
Kızgın Buhar,s (çıktı),LightGBM,0.952890,0.929010,0.988002,0.973181,0.988002,STGP-EF
Kızgın Buhar,s (çıktı),RF,0.984313,0.969613,0.990534,0.964673,0.990534,STGP-EF
Kızgın Buhar,s (çıktı),XGBoost,0.992657,0.966304,0.991795,0.962167,0.992657,Base
Kızgın Buhar,v (çıktı),AdaBoost,0.989110,0.975244,0.986560,0.971770,0.989110,Base
Kızgın Buhar,v (çıktı),CatBoost,0.999648,0.998653,0.999750,0.999377,0.999750,STGP-EF
Kızgın Buhar,v (çıktı),DART,0.886156,0.982380,0.940798,0.982340,0.982380,SMOGN
Kızgın Buhar,v (çıktı),EF,0.999800,0.998654,0.999839,0.998672,0.999839,STGP-EF
Kızgın Buhar,v (çıktı),ET,0.999815,0.998723,0.999848,0.998646,0.999848,STGP-EF
